LOCATION,TIME,Value
IRL,1990-Q2,2.05928
IRL,1990-Q3,1.25767
IRL,1990-Q4,0.454682
IRL,1991-Q1,0.024823
IRL,1991-Q2,0.022641
IRL,1991-Q3,0.38784
IRL,1991-Q4,0.845025
IRL,1992-Q1,1.078896
IRL,1992-Q2,1.070613
IRL,1992-Q3,0.86266
IRL,1992-Q4,0.61684
IRL,1993-Q1,0.500612
IRL,1993-Q2,0.530792
IRL,1993-Q3,0.713413
IRL,1993-Q4,1.002046
IRL,1994-Q1,1.350758
IRL,1994-Q2,1.729524
IRL,1994-Q3,2.188892
IRL,1994-Q4,2.532276
IRL,1995-Q1,3.588453
IRL,1995-Q2,1.509641
IRL,1995-Q3,3.046332
IRL,1995-Q4,1.502641
IRL,1996-Q1,2.351034
IRL,1996-Q2,2.133264
IRL,1996-Q3,0.117771
IRL,1996-Q4,1.755531
IRL,1997-Q1,3.608831
IRL,1997-Q2,4.313126
IRL,1997-Q3,2.119747
IRL,1997-Q4,2.480284
IRL,1998-Q1,1.210359
IRL,1998-Q2,2.399146
IRL,1998-Q3,3.97186
IRL,1998-Q4,-2.178168
IRL,1999-Q1,5.439976
IRL,1999-Q2,1.179192
IRL,1999-Q3,4.736496
IRL,1999-Q4,2.387599
IRL,2000-Q1,0.923235
IRL,2000-Q2,2.78269
IRL,2000-Q3,2.930481
IRL,2000-Q4,1.122339
IRL,2001-Q1,0.816436
IRL,2001-Q2,1.296039
IRL,2001-Q3,0.237094
IRL,2001-Q4,1.508892
IRL,2002-Q1,2.432888
IRL,2002-Q2,0.672305
IRL,2002-Q3,2.271403
IRL,2002-Q4,0.739524
IRL,2003-Q1,-1.492692
IRL,2003-Q2,0.813581
IRL,2003-Q3,1.485823
IRL,2003-Q4,5.018997
IRL,2004-Q1,-0.139974
IRL,2004-Q2,1.737586
IRL,2004-Q3,0.34398
IRL,2004-Q4,2.096044
IRL,2005-Q1,1.103202
IRL,2005-Q2,2.153141
IRL,2005-Q3,0.065415
IRL,2005-Q4,2.572459
IRL,2006-Q1,1.064854
IRL,2006-Q2,0.413986
IRL,2006-Q3,2.11567
IRL,2006-Q4,0.191374
IRL,2007-Q1,4.788214
IRL,2007-Q2,-1.03062
IRL,2007-Q3,-2.249458
IRL,2007-Q4,4.354616
IRL,2008-Q1,-3.525202
IRL,2008-Q2,-1.872274
IRL,2008-Q3,-0.694871
IRL,2008-Q4,-3.786267
IRL,2009-Q1,-0.765427
IRL,2009-Q2,0.191052
IRL,2009-Q3,-1.396912
IRL,2009-Q4,-0.47035
IRL,2010-Q1,2.013007
IRL,2010-Q2,0.892891
IRL,2010-Q3,0.714432
IRL,2010-Q4,-0.572857
IRL,2011-Q1,3.156663
IRL,2011-Q2,0.418132
IRL,2011-Q3,0.127616
IRL,2011-Q4,-0.075771
IRL,2012-Q1,-0.086948
IRL,2012-Q2,0.636338
IRL,2012-Q3,-0.8417
IRL,2012-Q4,0.46187
IRL,2013-Q1,-1.606714
IRL,2013-Q2,2.733945
IRL,2013-Q3,2.18364
IRL,2013-Q4,-1.002455
IRL,2014-Q1,4.102993
IRL,2014-Q2,3.922309
IRL,2014-Q3,0.66846
IRL,2014-Q4,0.59407
IRL,2015-Q1,22.648095
IRL,2015-Q2,-0.807125
IRL,2015-Q3,1.438363
IRL,2015-Q4,0.316297
IRL,2016-Q1,1.897282
IRL,2016-Q2,0.605156
IRL,2016-Q3,-1.493815
IRL,2016-Q4,10.034514
IRL,2017-Q1,-4.824533
IRL,2017-Q2,3.592123
IRL,2017-Q3,4.186044
IRL,2017-Q4,2.566349
IRL,2018-Q1,-0.42375
IRL,2018-Q2,2.547798
